	date	hashtags	text	user	verifieduser	registeredon	followersuser	followinguser	tweetsuser	favoritestweetsuser	retweet	quote	reply	likes	language	device	location	latitude	longitude
139	Wed Jul 08 20:03:23 +0000 2020	['Info7Tarde']	#Info7Tarde Anuncia el gobernador del estado que si no paran los contagios de Covid-19 podrían parar la economía...… https://t.co/bRwUGurpgq	TVAztecaJalisco	False	Fri May 28 03:19:50 +0000 2010	92436	1223	35921	1297	0	0	0	0	es	WEB APP	Guadalajara Jalisco	20.6720375	-103.3383962
140	Wed Jul 08 20:03:23 +0000 2020	['RedSox']	Robinson Leyer and Domingo Tapia spotted here playing catch in right field. Cross those two #RedSox pitchers off your COVID list.	BillKoch25	False	Tue Jan 01 20:53:31 +0000 2013	7167	560	70574	994	0	0	0	0	en	WEB APP	Warwick, Rhode Island	41.7002024	-71.4161108
141	Wed Jul 08 20:03:23 +0000 2020	[]	RT @OoCPokemon: politicians during covid-19 https://t.co/sdzuNAll4g	lestervalentinn	False	Wed Aug 02 05:20:02 +0000 2017	155	224	4655	12287	0	0	0	0	en	WEB APP	National Capital Region	14.5736108	121.0329706
142	Wed Jul 08 20:41:14 +0000 2020	[]	If the GOP did nothing after 20 children were murdered at Sandy Hook, what makes you think they care about protecting kids from Covid-19	AntRomero	False	Tue Aug 18 23:31:17 +0000 2009	30	151	1659	723	0	0	0	0	en	WEB APP	Los Angeles/Las Vegas	40.2662083	-3.5361748
143	Wed Jul 08 20:41:14 +0000 2020	[]	"RT @Scribulatora: The government should implement an increase in the GST to assist us in recouping the cost of the Covid Pandemic. 

(An in…"	N2JayPetersenYT	False	Mon Nov 26 13:59:15 +0000 2018	1233	1218	79793	99137	0	0	0	0	en	WEB APP	Alberta/Nova Scotia	44.6767564	-63.5227185
144	Wed Jul 08 20:41:14 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	OffChigga	False	Mon Sep 09 15:50:11 +0000 2013	3269	156	5724	1406	0	0	0	0	en	IPHONE	Terre Haute, IN	39.4667025	-87.4139119
147	Wed Jul 08 20:41:14 +0000 2020	[]	RT @reumalho: O dono da Ricardo Eletro, sozinho, sonegou 400 milhões de reais de impostos. Uma diária de UTI no SUS para paciente com covid…	wtdanger	False	Thu Jul 23 13:55:52 +0000 2015	249	254	5767	5939	0	0	0	0	pt	IPHONE	Belém, Brazil	-1.45056	-48.4682453
148	Wed Jul 08 20:41:14 +0000 2020	[]	"Jai fait le test covid aujourdhui. Contrairement aux autres fois , cette on t'introduit l'écouvillon dans le nez😐
C'est pas la joie🚶"	Lysi37783638	False	Sun Sep 15 15:12:08 +0000 2019	152	182	247	382	0	0	0	0	fr	WEB APP	République du Bénin	9.5293472	2.2584408
149	Wed Jul 08 20:41:27 +0000 2020	[]	Prima del Mochilas!,!! Con tal de no trabajar, Covid	TUTORODRIGUEZ57	False	Tue Dec 21 21:16:58 +0000 2010	56	23	117	55	0	0	0	0	es	WEB APP	Bolivia	-17.0568696	-64.9912286
153	Wed Jul 08 20:41:31 +0000 2020	[]	RT @miassachusetts: My aunt has covid-19 and has stopped breathing on her own. Only private hospitals in MX have room for patients but they…	AdenGeb	False	Thu Aug 03 03:53:38 +0000 2017	478	356	1400	3797	0	0	0	0	en	IPHONE	Los Angeles, CA	34.0536909	-118.2427666
155	Wed Jul 08 20:41:31 +0000 2020	[]	RT @Phumlani_PrEP: Covid is been emotionally exhausting. If isn’t paranoia it’s anxiety.	SheaButterBaba	False	Thu Apr 05 09:12:19 +0000 2012	1420	1819	15140	3916	0	0	0	0	en	IPHONE	South Africa	-28.8166236	24.991639
159	Wed Jul 08 20:41:31 +0000 2020	[]	"Bolsonaro e covid 19 copetem para ser o mal do século...🙄
Ficam  um empatados...🧐"	AngelickGomes	False	Wed Apr 17 13:05:27 +0000 2019	358	770	2100	1414	0	0	0	0	pt	WEB APP	São Paulo, Brasil	-23.5506507	-46.6333824
161	Wed Jul 08 20:41:31 +0000 2020	[]	@OpieRadio Da Fuq is that! It’s the physical manifestation of Covid. RUN!!	David_Cabelo	False	Tue Jan 11 02:57:58 +0000 2011	230	433	5137	10514	0	0	0	0	en	IPHONE	Astoria	46.187885	-123.831256
162	Wed Jul 08 20:41:31 +0000 2020	[]	RT @Mozzein_: Não indo, boa tarde.	evx6y	False	Thu Feb 01 15:57:11 +0000 2018	250	381	9849	21542	0	0	0	0	pt	WEB APP	Cariacica	-20.263202	-40.416549
163	Wed Jul 08 20:41:31 +0000 2020	[]	"@AndrewYNg It's an astounding move from the US (although really, it is an astounding time).  
But otherwise, isn't… https://t.co/iMhFhhwynH"	_Pete0_	False	Wed Feb 20 07:05:06 +0000 2013	53	227	832	1269	0	0	0	0	en	WEB APP	Auckland	-36.852095	174.7631803
165	Wed Jul 08 20:41:31 +0000 2020	[]	RT @DesireeAngelll: Testing positive for COVID-19 is ok but what’s NOT ok is going around acting like you don’t have it and endangering eve…	LivnLaFridaLoca	False	Sun Apr 25 14:27:24 +0000 2010	914	954	20780	5436	0	0	0	0	en	IPHONE	San Antonio, TX	29.4246002	-98.4951405
167	Wed Jul 08 20:41:31 +0000 2020	[]	having to leave my home for class. attendance was kicking my ass	sagittariuuuus	False	Mon Aug 25 03:13:39 +0000 2014	444	470	7028	53202	0	0	0	0	en	IPHONE	nowhere	52.7395569	1.0826808
168	Wed Jul 08 20:41:31 +0000 2020	[]	RT @SABCNews: BREAKING NEWS: The AmaRharhabe Royal family has confirmed the sudden passing of the regent Queen Noloyiso Sandile. She was ad…	Dlula_B	False	Sun Jun 27 07:01:55 +0000 2010	4773	4498	15972	16661	0	0	0	0	en	WEB APP	Midrand, South Africa	-25.999262	28.125912
169	Wed Jul 08 20:41:31 +0000 2020	[]	They better get used to playing to an empty stadium because after their action today the stadium will be empty post… https://t.co/OTZ3AaWoBH	Tessacan61	False	Thu Sep 10 15:44:34 +0000 2009	4555	4509	4947	22326	0	0	0	0	en	IPAD	Hampshire UK	51.04483545	-1.2434093603442158
170	Wed Jul 08 20:42:10 +0000 2020	[]	So pleased to be able to say we’ve had no confirmed cases of COVID-19. The atmosphere in the place is up beat and w… https://t.co/4YA5D6Kwa5	HMPBristol	False	Wed Jan 02 12:27:19 +0000 2019	649	42	25	25	0	0	0	0	en	IPHONE	Cambridge Road, BS7 8PS	51.4801764	-2.5912279
171	Wed Jul 08 20:42:10 +0000 2020	[]	Can he please shut the fuck up	DanalouO	False	Sat Aug 13 20:22:46 +0000 2011	691	826	31538	55965	0	0	0	0	en	IPHONE	Los Angeles, CA	34.0536909	-118.2427666
172	Wed Jul 08 20:42:17 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	TriMaxFitness	False	Thu Oct 24 17:04:53 +0000 2013	44	97	1628	50	0	0	0	0	en	IPHONE	Global	43.7283874	-79.34914879325001
176	Wed Jul 08 20:42:17 +0000 2020	[]	@VanStreetDog @whitejazmin @5gatos While I've come across one pro mask wearing article (I would have wanted to chec… https://t.co/4QHnQMqcjO	surveyorX	False	Wed Jul 13 17:21:59 +0000 2016	1567	2090	136672	91661	0	0	0	0	en	WEB APP	🇨🇦 Canada	61.0666922	-107.9917071
178	Wed Jul 08 20:42:17 +0000 2020	[]	RT @kurteichenwald: @JeffMiles8 My brother in law died of Covid. One of my high school classmates died of Covid. A good friend from when I…	Marie82337950	False	Tue Nov 13 00:50:06 +0000 2018	253	302	33367	51298	0	0	0	0	en	WEB APP	Washington, USA	38.8949855	-77.0365708
180	Wed Jul 08 20:42:17 +0000 2020	[]	RT @FriendEden100: Mike Pompeo was questioned about Global shock at what the world sees as the botched US response to the pandemic, &amp; Trump…	OmaDMRumuna	False	Sun Sep 09 21:43:28 +0000 2012	757	711	4027	5366	0	0	0	0	en	WEB APP	Lekki, Nigeria	6.4123323	4.0947395
182	Wed Jul 08 20:42:17 +0000 2020	[]	"Eu como profissional farmacêutico estou sem palavras para tamanho ignorancia desses ""lideres"" e outros profissionai… https://t.co/ZrVV7QlbyQ"	lasconich	False	Thu Jul 29 01:55:43 +0000 2010	277	70	16184	3141	0	0	0	0	pt	WEB APP	Paraná	-24.4842187	-51.8148872
183	Wed Jul 08 20:42:17 +0000 2020	[]	"RT @IvanMarcos26: Tratamento de combate ao covid-19 se o governo fosse da esquerda.
🤣🤣🤣 https://t.co/kEfChlv7fM"	Rodrigo92519780	False	Thu Oct 18 14:41:10 +0000 2018	318	810	25073	97739	0	0	0	0	pt	WEB APP	Brasil	-10.3333333	-53.2
184	Wed Jul 08 20:42:17 +0000 2020	[]	RT @highschoolot: Watch Now: Here's the full video of NCHSAA Commissioner Que Tucker's press conference regarding COVID-19 and plans for hi…	CAPSfootball	False	Tue May 14 01:31:05 +0000 2013	960	28	2931	1956	0	0	0	0	en	IPHONE	Raleigh, NC	35.7803977	-78.6390989
186	Wed Jul 08 20:42:17 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	UtopianMaple	False	Wed Oct 04 23:56:33 +0000 2017	205	477	1740	6125	0	0	0	0	en	WEB APP	Ontario, Canada	50.000678	-86.000977
188	Wed Jul 08 20:51:25 +0000 2020	[]	RT @Sentinelajuju: Não entendo porque o fato do Bolsonaro estar tomando Cloroquina está incomodando tanto os haters. Quando ele fez o prime…	Ricardohmoreir1	False	Thu Jan 10 23:48:11 +0000 2019	384	405	25942	27565	0	0	0	0	pt	WEB APP	Niterói in Rio de Janeiro 	-22.8832371	-43.1154552
189	Wed Jul 08 20:51:25 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	FinnVanWilder	False	Fri Oct 14 14:13:51 +0000 2011	1558	2304	75195	172912	0	0	0	0	en	WEB APP	The beach	43.6710244	-79.296712
193	Wed Jul 08 20:53:37 +0000 2020	[]	"RT @mitchellvii: Let's see.

They are counting people who have never been tested as Covid-positive. They are testing people with anti-bodie…"	BOBTUDBALL	False	Tue Mar 24 00:39:09 +0000 2009	521	2557	20453	14463	0	0	0	0	en	WEB APP	Northville, MI, USA	42.4310806	-83.4832262
195	Wed Jul 08 20:53:37 +0000 2020	['Repost']	"#Repost @DanielaAGG
• • • • • •
Já sabemos que a COVID-19 não se trata de uma gripezinha... Está tb claro que os mo… https://t.co/8FnhPK9wDL"	sm_guimaraes	False	Wed Mar 23 14:45:17 +0000 2011	58	157	388	50	0	0	0	0	pt	WEB APP	campinas -sp - brasil	-22.90556	-47.06083
196	Wed Jul 08 20:53:37 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	ProfOrganizer	False	Tue Apr 15 18:33:38 +0000 2008	6596	505	69048	49198	0	0	0	0	en	WEB APP	Chattanooga	35.0457219	-85.3094883
198	Wed Jul 08 20:53:37 +0000 2020	['COVID19vaccine']	"Pfizer and BioNTech release preliminary data on #COVID19vaccine candidate 
https://t.co/piDiUxfr7F"	OlgaCh68831640	False	Tue Nov 21 18:32:53 +0000 2017	55	353	190	1144	0	0	0	0	ro	WEB APP	Netherlands	52.5001698	5.7480821
199	Wed Jul 08 20:53:37 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	ArmandoEzequie3	False	Thu Jun 21 05:04:38 +0000 2012	104	1138	8905	36723	0	0	0	0	en	WEB APP	Mexico	19.4326296	-99.1331785
200	Wed Jul 08 20:53:37 +0000 2020	[]	Gente?	bearezende19	False	Sat Jan 12 19:25:11 +0000 2013	468	772	26647	7675	0	0	0	0	pt	IPHONE	rj.	-22.2752762	-42.419415
202	Wed Jul 08 20:53:37 +0000 2020	[]	RT @WatchChad: COVID 19: You’ve either had it or you will get it. You will either die from it or recover like more than 99% do. The governm…	Gale46924907	False	Wed Feb 01 00:20:07 +0000 2017	221	483	11565	8149	0	0	0	0	en	WEB APP	Pine and Buckeye Az	33.3702748	-112.5838673
203	Wed Jul 08 20:53:37 +0000 2020	[]	"O CAMPEONATO CARIOCA É UMA VERGONHA

A FERJ É UMA VERGONHA

O COVIDÃO 2020 TERMINA DE MANEIRA ESCANDALOSA."	_julioopereira	False	Tue Dec 27 20:27:10 +0000 2011	281	255	9597	1187	0	0	0	0	pt	WEB APP	São Luís, MA - Brasil	-2.5634605	-44.2448718
204	Wed Jul 08 20:53:37 +0000 2020	[]	RT @RN_Atheist: I'm sure this comes as a great surprise to all of the healthcare workers who have contracted COVID-19 and the families of t…	BethHundt	False	Thu Jul 23 02:37:41 +0000 2015	181	826	1674	9884	0	0	0	0	en	IPHONE	Charlottesville, VA	38.029306	-78.4766781
205	Wed Jul 08 20:53:37 +0000 2020	[]	RT @sherryrehman: Dr Mirza said”since the govt had changed its policy of testing passengers coming into Pakistan, tests conducted for Covid…	muhammadraza201	False	Sun Jul 14 22:25:02 +0000 2013	2133	1843	6817	29194	0	0	0	0	en	WEB APP	Punjab Pakistan	31.0	72.0
206	Wed Jul 08 20:53:37 +0000 2020	[]	"RT @rianru: Российский препарат от COVID-19 представят странам Латинской Америки
https://t.co/SvYHiQjHUs https://t.co/ax3vOxB0aY"	Chainfreeze	False	Sun Aug 18 08:49:09 +0000 2013	250	157	86298	45672	0	0	0	0	ru	WEB APP	Σαλαμίνα, Ελλάς	37.965818	23.4939232
207	Wed Jul 08 20:53:37 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	goldskiesart	False	Tue Feb 19 17:46:30 +0000 2019	216	210	1739	5036	0	0	0	0	en	IPHONE	Redlands, CO	39.1065275	-108.68613185463553
208	Wed Jul 08 20:53:37 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	JonothanHayman	False	Tue Jun 23 19:02:18 +0000 2015	203	501	8891	49755	0	0	0	0	en	WEB APP	Suffolk	52.241001350000005	1.0466830312565236
211	Wed Jul 08 20:53:37 +0000 2020	[]	Teo testou positivo pra covid eu ainda não acredito nisso	csstne	False	Wed Jun 14 00:37:09 +0000 2017	104	180	2886	4113	0	0	0	0	pt	WEB APP	Itapiranga, Brasil	-27.1719977	-53.7118734
213	Wed Jul 08 20:53:37 +0000 2020	['BolsonaroGenocidaDeIndios']	"RT @EsquerdizadorO: #BolsonaroGenocidaDeIndios 
“A cavalaria brasileira foi muito incompetente. Competente, sim, foi a cavalaria norte-amer…"	DNACanhoto	False	Fri Aug 05 21:37:37 +0000 2016	14490	14364	62358	62959	0	0	0	0	pt	IPHONE	Rio de Janeiro, Brasil	-22.9110137	-43.2093727
214	Wed Jul 08 20:53:37 +0000 2020	[]	@seattletimes Almost like covid exposed our broken, systemically racist, unequal, corrupt, and billionaire controlled government.	THEGzReebz	False	Tue Mar 31 01:33:49 +0000 2009	357	757	2182	14510	0	0	0	0	en	WEB APP	Seattle	47.6038321	-122.3300624
215	Wed Jul 08 20:53:37 +0000 2020	[]	@Kem77198459 @DDIFreeman @timolarch There's no doubt that they favour the hedge and vulture funds by what they are… https://t.co/vqtK7Kn9gb	declan_travers	False	Wed Aug 16 21:12:40 +0000 2017	1334	1732	26856	63238	0	0	0	0	en	WEB APP	Ireland	52.865196	-7.9794599
217	Wed Jul 08 20:53:37 +0000 2020	[]	RT @AlterNet: McConnell is holding COVID-19 relief hostage to Trump’s agenda — as usual https://t.co/u4T0C6FeGF	Laura78703	False	Mon Jun 22 00:27:35 +0000 2009	2564	2226	402611	297626	0	0	0	0	en	WEB APP	Austin metro, Texas	30.32322445	-97.70059163087691
219	Wed Jul 08 20:53:37 +0000 2020	['LLAP', 'Trekkie', 'COVID19']	Completely on board with this. 🖖🏽 #LLAP #Trekkie #COVID19	katperez84	False	Sun Jul 18 23:25:07 +0000 2010	973	1099	2429	4314	0	0	0	0	en	IPHONE	Los Angeles, CA	34.0536909	-118.2427666
221	Wed Jul 08 20:53:37 +0000 2020	['COVID19']	"...as he himself tested positive for #COVID19 
I genuinely do not understand the thought process this man has. Then… https://t.co/FdSnzldZjv"	flanagasteyer	False	Tue May 12 23:07:55 +0000 2009	182	158	4363	3358	0	0	0	0	en	IPHONE	New Jersey	40.0757384	-74.4041622
222	Wed Jul 08 20:53:38 +0000 2020	[]	"RT @SousaElias40: Sem querer , essa será uma grande jogada de mestre do nosso PR. 
Será curado pela Hidroxicloroquina e provará que os gove…"	JLacowicz	False	Tue Oct 15 23:48:38 +0000 2019	156	279	6813	20001	0	0	0	0	pt	WEB APP	Brasil	-10.3333333	-53.2
223	Wed Jul 08 20:53:38 +0000 2020	[]	"RT @YaThinkN: Private security AKA a business fails in Victoria and it is Dan Andrews fault.

Jetstar AKA a business fails in New South Wal…"	Lila33	False	Sat Mar 28 23:49:42 +0000 2009	2564	4777	150408	70306	0	0	0	0	en	WEB APP	Australia	-24.7761086	134.755
224	Wed Jul 08 20:53:38 +0000 2020	[]	RT @CourtWatchNOLA: Since the outbreak of COVID-19 in New Orleans, we've kept a close eye on who has been arrested, and for what. Since 3/2…	NOLABOOKFAIR	False	Sat Jun 22 19:15:03 +0000 2013	1927	1821	105097	16219	0	0	0	0	en	IPHONE	New Orleans, LA	29.9499323	-90.0701156
225	Wed Jul 08 20:53:38 +0000 2020	['LaComunidadDelContenido']	#LaComunidadDelContenido | El 3 de julio, se dieron a conocer los resultados, y seis de las 63 iniciativas seleccio… https://t.co/YtCfYiWv7c	TVU_television	False	Tue Oct 23 12:36:52 +0000 2012	38302	357	43166	162	0	0	0	0	es	WEB APP	Concepción, Chile	-36.8270795	-73.0502399
226	Wed Jul 08 20:53:38 +0000 2020	[]	RT @rodysuarez: Junto al ministro de Seguridad, Raúl Levrino (@rlevrino), y acompañado por su gabinete, analizamos todo el trabajo que se v…	Andanita7	False	Wed Jul 15 21:48:53 +0000 2009	447	2182	28220	1003	0	0	0	0	es	IPHONE	Buenos Aires, Argentina	-34.6075682	-58.4370894
228	Wed Jul 08 20:53:38 +0000 2020	[]	RT @sanbar63: @gabrielalpp @MartinVizcarraC Los muertos por covid los hay en todo el mundo si es que aún no se han enterado.	meee_llo	False	Sat Jan 11 15:30:09 +0000 2020	345	113	541	1129	0	0	0	0	es	WEB APP	Lima / Perú ✨🇵🇪	-12.0621065	-77.0365256
229	Wed Jul 08 20:53:38 +0000 2020	[]	RT @choycebrown: my personal favs https://t.co/Eu5dJd9uAq	StunLikes	False	Sat Nov 25 07:28:51 +0000 2017	3333	73	14469	2	0	0	0	0	en	IPHONE	40	44.00996945	-0.6433872354467377
231	Wed Jul 08 20:53:38 +0000 2020	[]	RT @TachiraNoticias: ¡ALERTA! Se registran 2 víctimas fatales por Covid-19 en Táchira https://t.co/Vzj7znpcey	RAFAELWINI	False	Sun Jun 07 15:59:48 +0000 2009	1488	1959	153847	420	0	0	0	0	es	WEB APP	Venezuela	8.0018709	-66.1109318
233	Wed Jul 08 20:53:38 +0000 2020	[]	RT @girlsreallyrule: If schools are perfectly safe from Covid-19, then so are prisons. Manafort, Cohen, Stone and every other Trump associa…	NursesRock17	False	Wed Feb 07 23:43:34 +0000 2018	513	1021	13012	20381	0	0	0	0	en	IPHONE	Jacksonville, FL	30.3321838	-81.655651
238	Wed Jul 08 20:53:38 +0000 2020	[]	RT @GugaNoblat: Faz 24horas que Bolsonaro pegou Covid mas garante que a cloroquina já está dando resultado. Esse cara é uma fake news ambul…	LourivalFranco	False	Wed Oct 13 22:09:15 +0000 2010	132	147	1499	8952	0	0	0	0	pt	WEB APP	Rio de Janeiro	-22.9110137	-43.2093727
239	Wed Jul 08 20:53:38 +0000 2020	[]	RT @younousomarjee: 🔴Mon rapport pour la Commission Regi pour poursuivre  l’initiative pour l’emploi des jeunes pour le dernier semestre 20…	ScarlettNole	False	Sun Jan 19 21:26:46 +0000 2020	754	222	40830	62871	0	0	0	0	fr	WEB APP	France	46.603354	1.8883335
241	Wed Jul 08 20:53:38 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	mikecrain	False	Wed Dec 03 05:35:10 +0000 2008	2350	3514	16657	3922	0	0	0	0	en	IPHONE	N. California	-11.2141389	-67.7071863
242	Wed Jul 08 20:53:38 +0000 2020	[]	RT @tconnellyRTE: Merkel: in many member states Eurosceptics are waiting to use this [Covid] crisis to their ends. We must show that a retu…	Edinburgh4EU	False	Thu Jan 02 14:34:28 +0000 2020	516	473	5988	735	0	0	0	0	en	WEB APP	Edinburgh	55.9533456	-3.1883749
243	Wed Jul 08 20:53:38 +0000 2020	[]	RT @BrasilWire: “Masks are for fags” says Jair Bolsonaro after announcing he has tested positive for COVID-19. https://t.co/zOLAlEPKCt	daninava	False	Wed Apr 22 19:49:38 +0000 2009	2457	851	25803	111025	0	0	0	0	en	IPHONE	London, UK	51.5073219	-0.1276474
244	Wed Jul 08 20:53:38 +0000 2020	['ElPulso', 'Covid']	#ElPulso #Covid-19 | En las últimas horas se reporta que cuatro personas han fallecido consecuencia del coronavirus… https://t.co/Vluthcljav	elpulsohn	False	Mon Apr 11 23:07:17 +0000 2016	5141	462	16172	165	0	0	0	0	es	WEB APP	Honduras	15.2572432	-86.0755145
245	Wed Jul 08 20:53:38 +0000 2020	[]	RT @atlanticsurff: Así te miente el Kirchenrismo. Suben una foto de 2019 para hacerte creer que Bolsonaro está internado y meterte pánico c…	matiasmvi	False	Fri Mar 13 16:23:01 +0000 2015	30	308	351	249	0	0	0	0	es	IPHONE	Tigre, Argentina	-34.4226513	-58.5808967
246	Wed Jul 08 20:53:38 +0000 2020	[]	RT @biitchuary: Wtf	NotPlayygrl	False	Sun Nov 10 00:50:43 +0000 2019	4148	954	23221	799	0	0	0	0	und	IPHONE	Atlanta, GA	33.7490987	-84.3901849
251	Wed Jul 08 20:53:38 +0000 2020	[]	Truly don’t have the patience for these covid shenanigans	MenkauraB	False	Wed Nov 30 00:11:48 +0000 2011	5430	896	410213	4236	0	0	0	0	en	IPHONE	Atlanta, GA	33.7490987	-84.3901849
252	Wed Jul 08 20:53:38 +0000 2020	[]	RT @kellyhiser: want to share some childcare in COVID times research we've done for other parents of little kids...	shimirawms	False	Tue Jan 13 13:23:24 +0000 2009	2471	2113	31535	30781	0	0	0	0	en	WEB APP	Pittsburgh, PA	40.4416941	-79.9900861
253	Wed Jul 08 20:53:38 +0000 2020	[]	RT @TimRunsHisMouth: What happened to the Senators who were insider trading before COVID hit?	Richak28	False	Tue Jul 21 21:33:20 +0000 2009	174	1817	14666	5915	0	0	0	0	en	WEB APP	Edinburg,MS	32.7993005	-89.3361784
254	Wed Jul 08 20:53:38 +0000 2020	[]	RT @Jacobo7Alvise: Lo más lógico si tenemos en cuenta que probablemente tengamos el peor gobierno de todo el mundo civilizado. https://t.co…	desamparadosb	False	Mon Feb 14 14:44:22 +0000 2011	14894	13146	617333	262962	0	0	0	0	es	WEB APP	Valencia	39.4697065	-0.3763353
255	Wed Jul 08 20:53:38 +0000 2020	[]	RT @propublica: Their father was missing. Their mother was miles away. Two sisters, ages 8 and 11, were survivors of sexual assault and at…	susan_landwehr	False	Wed Sep 10 23:55:10 +0000 2014	208	293	5764	4045	0	0	0	0	en	IPAD	Oregon, USA	43.9792797	-120.737257
256	Wed Jul 08 20:53:38 +0000 2020	[]	RT @KamVTV: Just a reminder that the survival rate for Covid-19 is still 99.85%	Russ_Coopssss	False	Wed Nov 28 18:41:26 +0000 2018	198	583	12910	31351	0	0	0	0	en	IPHONE	London, England	51.5073219	-0.1276474
258	Wed Jul 08 20:53:38 +0000 2020	[]	RT @TheNationNews: BREAKING: Wike sacks perm sec for flouting COVID-19 guidelines https://t.co/o4DNmvdimx	chillychux007	False	Thu Jul 29 22:35:52 +0000 2010	278	1021	31604	298	0	0	0	0	en	WEB APP	Delta State. Nigeria	5.5273061	6.1784167
259	Wed Jul 08 20:53:38 +0000 2020	[]	RT @MelissaJPeltier: Betsy “Let college boys  rape” DeVos is now “Thousands of small children should be sacrificed against their will; like…	AndiJohnson1	False	Tue Oct 14 20:34:08 +0000 2008	12959	14095	110130	283237	0	0	0	0	en	WEB APP	NH	43.4849133	-71.6553992
260	Wed Jul 08 20:53:38 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	gonzalezzxo1	False	Mon Jul 25 21:11:58 +0000 2016	332	260	6415	29469	0	0	0	0	en	IPHONE	Goodyear, AZ	33.4353672	-112.3576005
261	Wed Jul 08 20:53:38 +0000 2020	[]	RT @Fly_Sistah: @waltshaub @realDonaldTrump He cares more about optics to win the election than people getting sick or dying from covid 19.…	Beydisciple	False	Thu Apr 19 02:37:30 +0000 2018	149	452	7555	61534	0	0	0	0	en	IPHONE	Los Angeles, CA	34.0536909	-118.2427666
262	Wed Jul 08 20:53:38 +0000 2020	[]	@LovelyB49752674 So sorry! It’s really not fair when the people doing the right thing get this. But Covid doesn’t c… https://t.co/gOoHNuccXZ	HollyWHopkins	False	Mon Jun 13 16:33:04 +0000 2011	1317	1685	5199	30779	0	0	0	0	en	IPHONE	Shreveport, LA	32.5221828	-93.7651944
263	Wed Jul 08 20:53:38 +0000 2020	[]	RT @QuecianaWalton: Standing 6 feet away from me	_symplysharon	False	Sun Feb 24 03:24:50 +0000 2019	782	430	2772	36835	0	0	0	0	en	WEB APP	Houston, TX	29.7589382	-95.3676974
264	Wed Jul 08 20:53:38 +0000 2020	[]	"RT @ChipoNcwana: 🌍Worldwide deaths: 544K
🇿🇦Ongoing grave PREPARATIONS GP: 1M

If you ask me, something's not adding up."	PHUPHU_pillar	False	Fri Apr 27 05:19:55 +0000 2012	1441	949	57406	33837	0	0	0	0	en	IPHONE	Giyani, South Africa	-23.315278	30.725556
266	Wed Jul 08 20:53:38 +0000 2020	[]	RT @__KEEpsake: I wish covid wasn’t everywhere so I could go live somewhere else for 2 months lol	ByTokiwa	False	Fri Mar 04 04:19:22 +0000 2011	1107	554	113420	12183	0	0	0	0	en	IPHONE	New York, NY	40.7127281	-74.0060152
267	Wed Jul 08 20:53:38 +0000 2020	[]	RT @RamosVigt: 🤣🤣🤣🤣🤣😂😂😂😂	RicardoAragao6	False	Wed Oct 11 04:17:13 +0000 2017	3	84	99	327	0	0	0	0	und	WEB APP	Uberlândia, Brasil	-18.9188041	-48.2767837
268	Wed Jul 08 20:53:39 +0000 2020	[]	RT @Reuters: Scientists warn of potential wave of COVID-linked brain damage https://t.co/U71N8h02ek https://t.co/pJkjo8AEYl	PatMcClay	False	Sun Feb 01 21:08:42 +0000 2009	1399	1933	49158	22731	0	0	0	0	en	WEB APP	Scotland	56.7861112	-4.1140518
269	Wed Jul 08 20:53:39 +0000 2020	['cuarentena', 'coronavirus']	RT @DanielNorero: Hombre que organizaba marchas anti #cuarentena falleció de #coronavirus en Argentina https://t.co/5jCaQ4LRXl | Hace poco…	madridvk	False	Mon Nov 15 10:07:08 +0000 2010	1063	3401	89537	61036	0	0	0	0	es	WEB APP	Madrid, Comunidad de Madrid	40.4167047	-3.7035825
270	Wed Jul 08 20:53:39 +0000 2020	[]	"RT @liselm17: Here's a daily reminder that:

- COVID-19 should have never been politicized, and doing so has killed more Americans.

- trum…"	maikifc	False	Wed Jan 07 22:25:48 +0000 2015	268	1449	7175	17007	0	0	0	0	en	IPHONE	Switzerland	46.7985624	8.2319736
